engine	case	quantity	status	value	note
adapter	acetone-methanol@x1=0.3	tbub_c	ok	5.8340344848e1	feos PC-SAFT (BRD-030 spike adapter)
adapter	acetone-methanol@x1=0.5	tbub_c	ok	5.6184652574e1	feos PC-SAFT (BRD-030 spike adapter)
adapter	acetone-methanol@x1=0.7	tbub_c	ok	5.5093573700e1	feos PC-SAFT (BRD-030 spike adapter)
adapter	acetone-methanol@x1=0.9	tbub_c	ok	5.5124878299e1	feos PC-SAFT (BRD-030 spike adapter)
kerotakis	acetone-ethanol@x1=0.1	tbub_c	ok	7.1956002860e1	Antoine+UNIFAC
kerotakis	acetone-ethanol@x1=0.1	y1	ok	2.9947952062e-1	Antoine+UNIFAC
kerotakis	acetone-ethanol@x1=0.3	tbub_c	ok	6.4802433714e1	Antoine+UNIFAC
kerotakis	acetone-ethanol@x1=0.3	y1	ok	5.7269514412e-1	Antoine+UNIFAC
kerotakis	acetone-ethanol@x1=0.5	tbub_c	ok	6.1016380384e1	Antoine+UNIFAC
kerotakis	acetone-ethanol@x1=0.5	y1	ok	7.0845848591e-1	Antoine+UNIFAC
kerotakis	acetone-ethanol@x1=0.7	tbub_c	ok	5.8562532210e1	Antoine+UNIFAC
kerotakis	acetone-ethanol@x1=0.7	y1	ok	8.1212469943e-1	Antoine+UNIFAC
kerotakis	acetone-ethanol@x1=0.9	tbub_c	ok	5.6791808712e1	Antoine+UNIFAC
kerotakis	acetone-ethanol@x1=0.9	y1	ok	9.2617226746e-1	Antoine+UNIFAC
kerotakis	acetone-ethanol@flash	vapour_fraction	ok	1.0000000000e0	Antoine+UNIFAC
feos-pcsaft	acetone-ethanol@x1=0.1	tbub_c	ok	7.2998403062e1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	acetone-ethanol@x1=0.1	y1	ok	2.6520579315e-1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	acetone-ethanol@x1=0.3	tbub_c	ok	6.6036938974e1	esper2023+rehner2023; needed 1 restart(s)
feos-pcsaft	acetone-ethanol@x1=0.3	y1	ok	5.5377705169e-1	esper2023+rehner2023; needed 1 restart(s)
